engine,n_policies,run,sample_ms
kyverno,15,3,15.867
kyverno,15,3,13.059
kyverno,15,3,11.991
kyverno,15,3,13.534
kyverno,15,3,11.970
kyverno,15,3,12.163
kyverno,15,3,12.450
kyverno,15,3,11.715
kyverno,15,3,12.180
kyverno,15,3,12.142
kyverno,15,3,12.529
kyverno,15,3,12.038
kyverno,15,3,11.665
kyverno,15,3,13.964
kyverno,15,3,13.656
kyverno,15,3,13.247
kyverno,15,3,11.642
kyverno,15,3,11.784
kyverno,15,3,11.945
kyverno,15,3,11.168
kyverno,15,4,11.667
kyverno,15,4,13.511
kyverno,15,4,12.464
kyverno,15,4,12.138
kyverno,15,4,16.594
kyverno,15,4,12.017
kyverno,15,4,15.515
kyverno,15,4,12.567
kyverno,15,4,13.818
kyverno,15,4,12.584
kyverno,15,4,12.253
kyverno,15,4,13.864
kyverno,15,4,81.609
kyverno,15,4,14.061
kyverno,15,4,12.717
kyverno,15,4,14.171
kyverno,15,4,13.311
kyverno,15,4,12.858
kyverno,15,4,60.197
kyverno,15,4,11.870
kyverno,15,4,11.884
kyverno,15,4,11.851
kyverno,15,4,11.549
kyverno,15,4,11.446
kyverno,15,4,12.935
kyverno,15,4,14.745
kyverno,15,4,12.153
kyverno,15,4,12.158
kyverno,15,4,12.748
kyverno,15,4,12.324
kyverno,15,4,12.362
kyverno,15,4,12.399
kyverno,15,4,11.881
kyverno,15,4,13.510
kyverno,15,4,13.861
kyverno,15,4,12.222
kyverno,15,4,12.985
kyverno,15,4,14.113
kyverno,15,4,13.665
kyverno,15,4,11.885
kyverno,15,4,11.945
kyverno,15,4,12.815
kyverno,15,4,14.136
kyverno,15,4,13.782
kyverno,15,4,12.973
kyverno,15,4,11.692
kyverno,15,4,11.700
kyverno,15,4,11.892
kyverno,15,4,15.408
kyverno,15,4,12.547
kyverno,15,4,13.113
kyverno,15,4,13.853
kyverno,15,4,13.325
kyverno,15,4,11.589
kyverno,15,4,12.199
kyverno,15,4,12.970
kyverno,15,4,12.583
kyverno,15,4,11.711
kyverno,15,4,11.866
kyverno,15,4,13.733
kyverno,15,4,12.675
kyverno,15,4,12.895
kyverno,15,4,13.876
kyverno,15,4,12.053
kyverno,15,4,12.921
kyverno,15,4,13.842
kyverno,15,4,12.139
kyverno,15,4,13.771
kyverno,15,4,13.673
kyverno,15,4,12.913
kyverno,15,4,12.605
kyverno,15,4,18.405
kyverno,15,4,11.910
kyverno,15,4,13.123
kyverno,15,4,12.066
kyverno,15,4,13.220
kyverno,15,4,12.070
kyverno,15,4,11.923
kyverno,15,4,11.889
kyverno,15,4,11.768
kyverno,15,4,11.808
kyverno,15,4,11.995
kyverno,15,4,11.953
kyverno,15,4,11.770
kyverno,15,4,12.839
kyverno,15,4,12.228
kyverno,15,4,12.441
kyverno,15,4,12.972
kyverno,15,4,11.574
kyverno,15,4,12.663
kyverno,15,4,11.812
kyverno,15,4,11.655
kyverno,15,4,11.594
kyverno,15,4,14.237
kyverno,15,4,13.074
kyverno,15,4,12.722
kyverno,15,4,12.413
kyverno,15,4,12.243
kyverno,15,4,11.724
kyverno,15,4,12.325
kyverno,15,5,14.919
kyverno,15,5,12.220
kyverno,15,5,12.518
kyverno,15,5,12.072
kyverno,15,5,13.097
kyverno,15,5,12.809
kyverno,15,5,11.876
kyverno,15,5,12.607
kyverno,15,5,12.243
kyverno,15,5,11.270
kyverno,15,5,12.491
kyverno,15,5,13.309
kyverno,15,5,13.076
kyverno,15,5,12.545
kyverno,15,5,12.244
kyverno,15,5,13.042
kyverno,15,5,12.680
kyverno,15,5,15.179
kyverno,15,5,17.704
kyverno,15,5,13.499
kyverno,15,5,12.497
kyverno,15,5,12.925
kyverno,15,5,12.680
kyverno,15,5,13.680
kyverno,15,5,16.067
kyverno,15,5,16.570
kyverno,15,5,14.628
kyverno,15,5,12.928
kyverno,15,5,16.050
kyverno,15,5,14.510
kyverno,15,5,12.625
kyverno,15,5,12.270
kyverno,15,5,12.624
kyverno,15,5,11.217
kyverno,15,5,11.983
kyverno,15,5,12.186
kyverno,15,5,13.926
kyverno,15,5,12.281
kyverno,15,5,11.598
kyverno,15,5,11.744
kyverno,15,5,14.288
kyverno,15,5,12.474
kyverno,15,5,12.021
kyverno,15,5,13.196
kyverno,15,5,12.994
kyverno,15,5,12.468
kyverno,15,5,11.777
kyverno,15,5,14.633
kyverno,15,5,13.354
kyverno,15,5,15.345
kyverno,15,5,13.885
kyverno,15,5,17.078
kyverno,15,5,15.080
kyverno,15,5,16.017
kyverno,15,5,14.080
kyverno,15,5,14.077
kyverno,15,5,14.326
kyverno,15,5,17.616
kyverno,15,5,19.729
kyverno,15,5,19.650
kyverno,15,5,16.343
kyverno,15,5,15.527
kyverno,15,5,85.313
kyverno,15,5,13.645
kyverno,15,5,12.824
kyverno,15,5,13.535
kyverno,15,5,12.775
kyverno,15,5,15.442
kyverno,15,5,14.311
kyverno,15,5,13.019
kyverno,15,5,12.463
kyverno,15,5,12.617
kyverno,15,5,12.689
kyverno,15,5,11.900
kyverno,15,5,11.996
kyverno,15,5,14.049
kyverno,15,5,13.892
kyverno,15,5,15.416
kyverno,15,5,14.925
kyverno,15,5,14.007
kyverno,15,5,14.823
kyverno,15,5,18.768
kyverno,15,5,14.569
kyverno,15,5,18.155
kyverno,15,5,25.771
kyverno,15,5,21.781
kyverno,15,5,17.714
kyverno,15,5,17.954
kyverno,15,5,17.985
kyverno,15,5,13.990
kyverno,15,5,13.951
kyverno,15,5,15.320
kyverno,15,5,17.980
kyverno,15,5,18.756
kyverno,15,5,19.372
kyverno,15,5,19.150
kyverno,15,5,17.852
kyverno,15,5,18.718
kyverno,15,5,16.347
kyverno,15,5,13.897
gatekeeper,0,1,9.315
gatekeeper,0,1,8.870
gatekeeper,0,1,9.101
gatekeeper,0,1,8.688
gatekeeper,0,1,8.732
gatekeeper,0,1,8.598
gatekeeper,0,1,8.403
gatekeeper,0,1,9.714
gatekeeper,0,1,9.873
gatekeeper,0,1,9.367
gatekeeper,0,1,10.143
gatekeeper,0,1,8.762
gatekeeper,0,1,9.331
gatekeeper,0,1,9.244
gatekeeper,0,1,11.385
gatekeeper,0,1,10.633
gatekeeper,0,1,9.650
gatekeeper,0,1,9.695
gatekeeper,0,1,9.849
gatekeeper,0,1,9.635
gatekeeper,0,1,14.436
gatekeeper,0,1,9.596
gatekeeper,0,1,9.400
gatekeeper,0,1,10.407
gatekeeper,0,1,8.825
gatekeeper,0,1,8.521
gatekeeper,0,1,8.558
gatekeeper,0,1,8.114
gatekeeper,0,1,8.106
gatekeeper,0,1,8.373
gatekeeper,0,1,8.318
gatekeeper,0,1,7.653
gatekeeper,0,1,11.146
gatekeeper,0,1,8.748
gatekeeper,0,1,8.004
gatekeeper,0,1,8.680
gatekeeper,0,1,8.418
gatekeeper,0,1,8.175
gatekeeper,0,1,7.594
gatekeeper,0,1,7.990
gatekeeper,0,1,8.008
gatekeeper,0,1,10.449
gatekeeper,0,1,10.223
gatekeeper,0,1,10.516
gatekeeper,0,1,8.598
gatekeeper,0,1,9.380
gatekeeper,0,1,8.566
gatekeeper,0,1,8.701
gatekeeper,0,1,8.990
gatekeeper,0,1,8.571
gatekeeper,0,1,8.535
gatekeeper,0,1,8.508
gatekeeper,0,1,8.671
gatekeeper,0,1,8.426
gatekeeper,0,1,10.474
gatekeeper,0,1,9.866
gatekeeper,0,1,8.800
gatekeeper,0,1,8.646
gatekeeper,0,1,8.575
gatekeeper,0,1,8.093
gatekeeper,0,1,8.606
gatekeeper,0,1,8.939
gatekeeper,0,1,9.543
gatekeeper,0,1,8.802
gatekeeper,0,1,8.855
gatekeeper,0,1,8.378
gatekeeper,0,1,9.384
gatekeeper,0,1,72.332
gatekeeper,0,1,9.276
gatekeeper,0,1,8.352
gatekeeper,0,1,8.695
gatekeeper,0,1,8.935
gatekeeper,0,1,8.006
gatekeeper,0,1,8.308
gatekeeper,0,1,8.557
gatekeeper,0,1,9.090
gatekeeper,0,1,7.948
gatekeeper,0,1,7.821
gatekeeper,0,1,7.514
gatekeeper,0,1,8.468
gatekeeper,0,1,7.971
gatekeeper,0,1,8.639
gatekeeper,0,1,8.242
gatekeeper,0,1,9.339
gatekeeper,0,1,8.634
gatekeeper,0,1,8.121
gatekeeper,0,1,8.708
gatekeeper,0,1,8.294
gatekeeper,0,1,8.166
gatekeeper,0,1,7.974
gatekeeper,0,1,8.114
gatekeeper,0,1,8.552
gatekeeper,0,1,9.165
gatekeeper,0,1,8.588
gatekeeper,0,1,9.370
gatekeeper,0,1,9.192
gatekeeper,0,1,8.048
gatekeeper,0,1,9.376
gatekeeper,0,1,9.121
gatekeeper,0,1,9.178
gatekeeper,5,1,11.901
gatekeeper,5,1,12.353
gatekeeper,5,1,11.605
gatekeeper,5,1,11.013
gatekeeper,5,1,10.428
gatekeeper,5,1,11.314
gatekeeper,5,1,11.842
gatekeeper,5,1,11.948
gatekeeper,5,1,11.205
gatekeeper,5,1,10.732
gatekeeper,5,1,10.514
gatekeeper,5,1,12.463
gatekeeper,5,1,14.072
gatekeeper,5,1,13.499
gatekeeper,5,1,16.442
gatekeeper,5,1,14.496
gatekeeper,5,1,12.680
gatekeeper,5,1,15.044
gatekeeper,5,1,15.052
gatekeeper,5,1,24.823
gatekeeper,5,1,17.966
gatekeeper,5,1,17.827
gatekeeper,5,1,19.920
gatekeeper,5,1,18.693
gatekeeper,5,1,15.849
gatekeeper,5,1,13.916
gatekeeper,5,1,12.401
gatekeeper,5,1,11.030
gatekeeper,5,1,10.958
gatekeeper,5,1,11.780
gatekeeper,5,1,11.544
gatekeeper,5,1,12.116
gatekeeper,5,1,11.403
gatekeeper,5,1,10.914
gatekeeper,5,1,11.783
gatekeeper,5,1,11.136
gatekeeper,5,1,11.896
gatekeeper,5,1,12.192
gatekeeper,5,1,11.916
gatekeeper,5,1,12.317
gatekeeper,5,1,10.953
gatekeeper,5,1,10.979
gatekeeper,5,1,12.430
gatekeeper,5,1,10.856
gatekeeper,5,1,11.453
gatekeeper,5,1,11.931
gatekeeper,5,1,11.052
gatekeeper,5,1,16.235
gatekeeper,5,1,11.809
gatekeeper,5,1,71.525
gatekeeper,5,1,15.110
gatekeeper,5,1,17.701
gatekeeper,5,1,11.198
gatekeeper,5,1,10.836
gatekeeper,5,1,10.589
gatekeeper,5,1,10.657
gatekeeper,5,1,10.861
gatekeeper,5,1,10.953
gatekeeper,5,1,10.451
gatekeeper,5,1,12.004
gatekeeper,5,1,11.387
gatekeeper,5,1,10.548
gatekeeper,5,1,10.984
gatekeeper,5,1,11.348
gatekeeper,5,1,10.819
gatekeeper,5,1,11.242
gatekeeper,5,1,10.460
gatekeeper,5,1,11.100
gatekeeper,5,1,10.705
gatekeeper,5,1,10.583
gatekeeper,5,1,10.948
gatekeeper,5,1,10.334
gatekeeper,5,1,10.826
gatekeeper,5,1,10.683
gatekeeper,5,1,10.316
gatekeeper,5,1,10.631
gatekeeper,5,1,11.581
gatekeeper,5,1,10.448
gatekeeper,5,1,14.948
gatekeeper,5,1,11.543
gatekeeper,5,1,10.936
gatekeeper,5,1,11.200
gatekeeper,5,1,11.346
gatekeeper,5,1,12.359
gatekeeper,5,1,13.440
gatekeeper,5,1,13.854
gatekeeper,5,1,11.596
gatekeeper,5,1,14.046
gatekeeper,5,1,11.234
gatekeeper,5,1,10.779
gatekeeper,5,1,11.414
gatekeeper,5,1,11.853
gatekeeper,5,1,12.552
gatekeeper,5,1,12.813
gatekeeper,5,1,11.448
gatekeeper,5,1,11.570
gatekeeper,5,1,10.812
gatekeeper,5,1,10.690
gatekeeper,5,1,11.872
gatekeeper,5,1,10.524
gatekeeper,10,1,13.594
gatekeeper,10,1,13.521
gatekeeper,10,1,13.853
gatekeeper,10,1,13.058
gatekeeper,10,1,13.226
gatekeeper,10,1,13.481
gatekeeper,10,1,18.270
gatekeeper,10,1,13.028
gatekeeper,10,1,13.265
gatekeeper,10,1,13.076
gatekeeper,10,1,13.571
gatekeeper,10,1,13.591
gatekeeper,10,1,13.371
gatekeeper,10,1,68.517
gatekeeper,10,1,14.113
gatekeeper,10,1,12.826
gatekeeper,10,1,14.094
gatekeeper,10,1,14.175
gatekeeper,10,1,13.650
gatekeeper,10,1,88.895
gatekeeper,10,1,13.770
gatekeeper,10,1,17.815
gatekeeper,10,1,13.093
gatekeeper,10,1,13.879
gatekeeper,10,1,13.902
gatekeeper,10,1,14.505
gatekeeper,10,1,12.470
gatekeeper,10,1,12.149
gatekeeper,10,1,13.774
gatekeeper,10,1,13.286
gatekeeper,10,1,13.084
gatekeeper,10,1,12.764
gatekeeper,10,1,13.533
gatekeeper,10,1,14.194
gatekeeper,10,1,12.866
